 0.718,-7.587
 0.723,-7.571
 0.728,-7.558
 0.733,-7.542
 0.738,-7.529
 0.743,-7.507
 0.757,-7.495
 0.775,-7.475
 0.785,-7.460
 0.809,-7.438
 0.841,-7.416
 0.851,-7.377
 0.875,-7.345
 0.894,-7.307
 0.903,-7.278
 0.913,-7.262
 0.918,-7.250
 0.923,-7.247
 0.923,-7.234
 0.931,-7.226
 0.922,-7.209
 0.921,-7.192
 0.921,-7.166
 0.917,-7.140
 0.922,-7.128
 0.908,-7.106
 0.900,-7.094
 0.901,-7.073
 0.889,-7.054
 0.885,-7.046
 0.885,-7.049
 0.881,-7.040
 0.882,-7.034
 0.873,-7.025
 0.882,-7.015
 0.877,-7.022
 0.886,-7.018
 0.886,-7.005
 0.886,-6.992
 0.881,-6.985
 0.886,-6.969
 0.890,-6.962
 0.881,-6.953
 0.886,-6.933
 0.881,-6.917
 0.877,-6.895
 0.873,-6.869
 0.873,-6.850
 0.874,-6.831
 0.874,-6.812
 0.888,-6.796
 0.883,-6.779
 0.892,-6.766
 0.901,-6.753
 0.906,-6.737
 0.911,-6.724
 0.907,-6.715
 0.908,-6.709
 0.908,-6.703
 0.909,-6.697
 0.909,-6.678
 0.909,-6.665
 0.913,-6.662
 0.923,-6.652
 0.909,-6.649
 0.910,-6.653
 0.896,-6.659
 0.896,-6.659
 0.887,-6.659
 0.886,-6.656
 0.877,-6.653
 0.881,-6.646
 0.872,-6.643
 0.872,-6.652
 0.867,-6.659
 0.854,-6.656
 0.849,-6.653
 0.854,-6.659
 0.850,-6.669
 0.850,-6.675
 0.845,-6.688
 0.845,-6.688
 0.845,-6.692
 0.841,-6.689
 0.841,-6.702
 0.827,-6.689
 0.827,-6.689
 0.818,-6.686
 0.818,-6.686
 0.822,-6.685
 0.817,-6.688
 0.813,-6.695
 0.817,-6.698
 0.817,-6.688
 0.826,-6.698
 0.831,-6.701
 0.835,-6.704
 0.830,-6.707
 0.830,-6.694
 0.821,-6.685
 0.821,-6.675
 0.826,-6.672
 0.821,-6.665
 0.826,-6.653
 0.835,-6.649
 0.831,-6.652
 0.835,-6.649
 0.835,-6.646
 0.836,-6.643
 0.836,-6.640
 0.837,-6.634
 0.828,-6.631
 0.833,-6.634
 0.833,-6.634
 0.828,-6.634
 0.832,-6.641
 0.823,-6.637
 0.823,-6.637
 0.814,-6.641
 0.805,-6.638
 0.800,-6.621
 0.800,-6.608
 0.791,-6.599
 0.790,-6.592
 0.786,-6.576
 0.790,-6.566
 0.791,-6.560
 0.796,-6.547
 0.800,-6.557
 0.806,-6.557
 0.810,-6.561
 0.815,-6.570
 0.824,-6.580
 0.824,-6.593
 0.833,-6.589
 0.833,-6.593
 0.833,-6.593
 0.851,-6.602
