s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
Time,L_IAS_X,L_IAS_Y,L_IAS_Z,L_IPS_X,L_IPS_Y,L_IPS_Z,R_IPS_X,R_IPS_Y,R_IPS_Z,R_IAS_X,R_IAS_Y,R_IAS_Z,L_FTC_X,L_FTC_Y,L_FTC_Z,L_FLE_X,L_FLE_Y,L_FLE_Z,L_FME_X,L_FME_Y,L_FME_Z,L_FAX_X,L_FAX_Y,L_FAX_Z,L_TTC_X,L_TTC_Y,L_TTC_Z,L_FAL_X,L_FAL_Y,L_FAL_Z,L_TAM_X,L_TAM_Y,L_TAM_Z,L_FCC_X,L_FCC_Y,L_FCC_Z,L_FM1_X,L_FM1_Y,L_FM1_Z,L_FM2_X,L_FM2_Y,L_FM2_Z,L_FM5_X,L_FM5_Y,L_FM5_Z,R_FTC_X,R_FTC_Y,R_FTC_Z,R_FLE_X,R_FLE_Y,R_FLE_Z,R_FME_X,R_FME_Y,R_FME_Z,R_FAX_X,R_FAX_Y,R_FAX_Z,R_TTC_X,R_TTC_Y,R_TTC_Z,R_FAL_X,R_FAL_Y,R_FAL_Z,R_TAM_X,R_TAM_Y,R_TAM_Z,R_FCC_X,R_FCC_Y,R_FCC_Z,R_FM1_X,R_FM1_Y,R_FM1_Z,R_FM2_X,R_FM2_Y,R_FM2_Z,R_FM5_X,R_FM5_Y,R_FM5_Z
1.18,575.393,635.424,945.284,407.53,545.883,971.894,414.709,465.298,976.487,588.012,394.255,961.815,503.418,687.739,797.025,564.265,667.125,458.836,0,0,0,514.23,671.858,439.96,542.662,634.349,385.828,207.63,625.581,236.955,0,0,0,,,,259.775,597.704,86.2084,0,0,0,217.813,651.957,104.794,570.215,338.899,807.88,629.07,399.648,475.663,0,0,0,613.533,392.209,436.729,647.625,440.215,409.92,543.92,423.848,66.1493,0,0,0,493.865,458.293,47.2076,691.636,475.643,40.7759,0,0,0,658.055,400.584,23.7092
1.19,574.7,634.985,947.722,407.49,545.249,974.335,415.229,464.609,978.362,587.425,393.736,963.665,506.366,687.016,799.505,578.294,665.72,463.069,0,0,0,528.688,670.356,443.18,558.235,632.773,389.682,226.983,624.718,232.635,0,0,0,,,,288.066,597.682,85.7789,0,0,0,245.453,651.988,102.325,566.888,338.293,808.615,617.538,399.414,475.136,0,0,0,601.582,392.004,436.607,635.264,440.058,409.16,528.202,424.091,66.4362,0,0,0,478.133,458.731,47.6759,675.92,475.681,40.7119,0,0,0,642.173,400.637,23.6909
1.2,575.308,634.294,951.077,406.95,545.477,976.669,414.812,464.268,980.418,586.672,392.92,965.411,509.641,686.27,802.059,591.679,664.372,467.745,0,0,0,542.5,668.754,446.698,573.62,631.493,394.007,247.234,624.033,226.535,0,0,0,,,,317.649,596.977,84.3528,0,0,0,274.111,651.401,98.2923,563.529,337.851,809.329,605.783,398.917,474.568,0,0,0,589.335,391.65,436.508,622.782,439.66,408.529,512.87,424.859,66.8833,0,0,0,462.676,459.44,48.2978,660.246,475.695,40.6341,0,0,0,626.208,400.733,23.7779
1.21,575.387,633.495,953.672,406.742,545.264,978.397,414.084,464.164,982.509,585.796,392.024,967.028,513.037,685.667,804.635,604.522,662.909,472.497,0,0,0,555.742,667.15,450.288,588.418,629.997,398.507,268.416,623.348,218.82,0,0,0,,,,348.27,596.324,82.309,0,0,0,304.047,650.733,93.1657,559.925,337.397,809.946,593.69,398.136,474.188,0,0,0,576.957,391.349,436.465,610.164,439.159,408.005,497.247,425.31,67.3275,0,0,0,446.917,459.949,48.9845,644.584,475.723,40.6389,0,0,0,610.327,400.8,23.8068
1.22,575.377,632.636,955.923,406.361,545.243,980.132,413.408,463.98,984.148,584.677,391.055,968.247,516.109,685.371,807.132,616.718,661.365,477.253,0,0,0,568.367,665.542,453.727,602.901,628.593,402.843,290.638,622.873,209.917,0,0,0,,,,379.715,596.545,79.9817,0,0,0,334.729,650.184,87.3367,556.345,337.083,810.364,581.328,397.298,473.814,0,0,0,564.34,390.909,436.391,597.469,438.666,407.522,481.549,425.804,67.9256,0,0,0,431.394,460.682,49.7409,629.006,475.776,40.603,0,0,0,594.48,400.987,23.9393
1.23,575.516,631.796,957.85,406.062,545.346,981.615,412.684,463.97,985.546,583.467,390.037,969.084,518.896,685.11,809.357,628.299,659.868,482.025,0,0,0,580.509,663.964,456.79,616.849,627.245,407.374,313.764,622.799,200.279,0,0,0,,,,411.3,596.044,76.5875,0,0,0,365.87,649.949,81.155,553.291,336.731,810.689,569.041,396.495,473.369,0,0,0,551.97,390.584,436.47,584.872,438.026,407.295,466.211,426.419,68.486,0,0,0,415.972,461.556,50.4453,613.586,475.756,40.5724,0,0,0,578.686,401.12,23.9924
1.24,575.519,631.099,959.406,405.611,545.588,982.757,411.9,464.16,986.743,582.134,389.083,969.531,521.306,685.081,811.249,639.19,658.211,486.587,0,0,0,592.278,662.413,459.476,630.261,625.706,411.607,338.029,621.771,189.215,0,0,0,289.404,570.216,196.999,443.5,596.308,72.9776,0,0,0,397.664,650.477,75.0652,549.119,336.484,810.726,557.031,395.516,473.094,0,0,0,539.381,390.191,436.508,572.188,437.474,406.958,450.875,427.325,69.1065,0,0,0,400.14,462.514,51.1041,598.334,475.783,40.5845,0,0,0,562.972,401.46,24.1265
1.25,575.565,630.447,960.357,405.109,545.925,983.544,410.975,464.433,987.691,581.391,388.101,969.746,523.392,685.182,812.917,649.315,656.521,490.853,0,0,0,603.346,661.026,461.658,643.02,624.248,415.573,363.04,621.81,178.182,0,0,0,314.2,569.493,182.087,476.328,596.764,69.1499,0,0,0,430.037,651.228,68.829,545.543,336.215,810.766,544.885,394.723,472.825,0,0,0,526.885,389.964,436.602,559.525,436.952,406.649,435.092,428.187,69.842,0,0,0,385.07,464.188,52.3978,583.153,476.075,40.6345,0,0,0,547.111,401.899,24.2771
1.26,575.472,629.932,960.685,404.55,546.25,983.908,410.089,464.691,988.35,579.485,387.532,969.422,525.411,685.357,814.243,658.535,654.943,494.727,0,0,0,613.655,659.538,463.305,654.933,622.865,419.5,389.115,621.798,166.323,0,0,0,340.274,569.115,166.671,509.71,597.955,65.4059,0,0,0,463.421,652.203,62.5786,541.775,335.967,810.583,532.922,394.157,472.481,0,0,0,514.467,389.874,436.671,547.168,436.738,405.923,419.535,429.3,70.7534,0,0,0,369.892,465.566,53.7789,567.672,476.168,40.6539,0,0,0,531.172,402.392,24.431
1.27,575.268,629.525,960.373,404.093,546.6,983.934,409.213,465.053,988.644,578.201,387.04,969.069,527.303,685.551,815.275,666.648,653.401,498.166,0,0,0,623.08,658.279,464.573,666.154,621.236,422.658,416.302,621.856,154.344,0,0,0,367.549,569.253,151.042,543.635,599.517,62.108,0,0,0,497.371,653.375,56.4281,538.058,335.804,810.232,521.204,393.752,472.216,0,0,0,502.268,389.849,436.708,534.706,436.533,405.766,404.112,430.554,71.5975,0,0,0,354.483,467.14,55.1373,552.17,476.431,40.6414,0,0,0,515.059,403.073,24.4736
1.28,575.072,629.219,959.604,403.488,547.179,983.613,408.211,465.552,988.649,576.902,386.715,968.372,529.219,685.772,816.057,673.668,652.031,501.144,0,0,0,631.462,657.234,465.569,676.34,620.311,425.933,444.697,622.225,142.017,0,0,0,396.084,569.752,135.295,577.968,601.237,59.0212,0,0,0,531.981,654.948,50.5902,534.354,335.991,809.685,509.835,393.669,471.946,0,0,0,490.291,389.769,436.83,522.597,436.335,405.469,388.527,431.637,72.7187,0,0,0,338.995,468.441,56.6977,536.458,476.471,40.7237,0,0,0,498.976,403.646,24.6206
1.29,574.849,629.09,958.467,402.952,547.734,982.919,407.236,466.1,988.277,575.731,386.489,967.493,530.886,686.173,816.611,679.322,650.869,503.709,0,0,0,638.75,656.41,465.961,685.519,619.548,428.902,473.755,623.55,130.143,0,0,0,425.915,570.837,119.591,612.677,602.796,56.725,0,0,0,567.266,656.675,45.4322,530.942,336.278,808.946,498.967,393.631,471.745,0,0,0,478.488,389.912,436.829,510.667,436.275,405.154,372.932,432.622,73.8477,0,0,0,323.372,469.934,58.3542,520.531,476.618,40.6384,0,0,0,482.918,404.171,24.8395
1.3,574.567,629.034,957.182,402.513,548.257,981.913,406.414,466.645,987.656,574.723,386.441,966.318,532.339,686.579,816.807,683.727,650.178,505.598,0,0,0,645.023,656.499,466.171,693.502,619.131,431.449,503.887,624.955,118.548,0,0,0,456.953,572.452,104.312,647.76,604.64,55.4204,0,0,0,603.291,658.539,41.2115,527.752,336.616,808.068,488.286,393.852,471.442,0,0,0,467.222,390.167,436.885,498.97,436.269,404.704,357.342,433.621,75.0761,0,0,0,307.943,471.019,60.0856,504.859,477.029,40.5754,0,0,0,467.433,404.86,24.9451
1.31,574.201,628.592,955.626,401.611,548.965,980.183,405.622,467.299,986.567,573.671,386.493,964.85,533.353,687.012,816.667,687.164,649.655,506.701,0,0,0,650.223,656.24,465.406,700.27,618.902,433.474,534.63,627.078,107.774,0,0,0,488.646,574.922,89.9428,682.932,606.314,55.6259,0,0,0,639.664,660.499,38.4135,524.769,336.906,806.99,478.149,394.276,471.29,0,0,0,456.081,390.518,436.897,487.444,436.539,404.222,341.978,434.436,76.3792,0,0,0,292.506,472.081,61.9801,489.29,477.243,40.5821,0,0,0,450.982,405.139,25.5508
1.32,574.399,629.068,954.32,401.29,549.617,978.274,404.255,467.872,985.011,572.825,386.605,963.264,534.286,686.913,815.945,689.594,649.434,507.003,0,0,0,654.805,656.354,464.373,706.089,618.994,434.995,565.908,629.57,98.1007,0,0,0,521.008,577.921,76.7626,717.575,607.926,57.1782,0,0,0,676.081,662.462,37.0667,522.107,337.14,805.803,468.416,394.774,471.002,0,0,0,445.338,391.018,436.916,476.285,436.968,403.846,326.69,435.217,77.766,0,0,0,277.207,473.076,64.0847,473.588,477.636,40.5423,0,0,0,435.003,405.718,25.7763
1.33,574.48,629.214,952.798,401.044,550.439,976.12,403.54,469.408,983.358,571.743,386.643,961.341,534.794,686.923,814.536,690.935,648.886,506.617,0,0,0,658.84,656.593,463.055,710.979,619.277,435.925,597.35,632.582,90.0576,0,0,0,553.877,580.903,65.1489,751.431,609.343,60.0905,0,0,0,711.999,664.518,37.3559,519.712,337.44,804.539,459.116,395.492,470.766,0,0,0,434.927,391.655,436.93,465.529,437.344,403.51,311.273,436.192,79.4261,0,0,0,261.942,474.143,66.4325,457.945,477.905,40.5278,0,0,0,418.961,406.305,26.0377
1.34,575.242,629.996,951.571,400.789,551.233,973.634,403.208,469.941,981.217,571.272,386.852,959.673,535.144,686.879,812.519,691.587,648.128,505.717,0,0,0,661.433,656.376,460.313,715.219,619.326,436.405,628.324,635.633,83.6244,0,0,0,586.064,584.732,55.5681,783.864,610.432,64.4415,0,0,0,746.957,666.167,39.1782,517.561,337.664,803.213,450.213,396.152,470.583,0,0,0,424.953,392.127,437.125,455.024,437.766,403.11,296.158,437.09,81.3221,0,0,0,246.801,475.253,69.1064,442.423,478.209,40.4454,0,0,0,402.912,406.942,26.3842
1.35,575.12,629.665,949.726,400.69,551.99,970.862,403.088,470.742,978.911,570.739,387.085,957.937,536.201,686.719,810.089,691.715,646.868,503.948,0,0,0,664.249,656.166,457.649,718.843,618.899,436.408,658.232,638.676,79.1377,0,0,0,617.203,588.662,48.0091,814.466,610.979,70.2786,0,0,0,780.171,667.29,42.773,515.785,337.587,801.859,441.658,396.656,470.465,0,0,0,415.552,392.603,437.431,445.074,438.193,402.866,281.036,437.857,83.4872,0,0,0,231.863,476.293,72.0905,426.795,478.539,40.3853,0,0,0,386.977,407.801,26.605
1.36,576.224,630.552,948.415,400.843,552.718,968.044,403.081,471.524,976.434,570.719,387.647,956.372,535.398,686.569,806.726,691.818,646.129,501.732,0,0,0,667.335,656.057,455.124,722.183,617.755,436.128,686.531,640.915,76.5256,0,0,0,646.731,592.086,42.4429,842.431,610.961,77.9226,0,0,0,810.98,668.024,48.5413,514.093,337.355,800.408,433.755,397.303,470.202,0,0,0,406.726,392.927,437.817,435.765,438.474,402.652,266.13,438.727,85.923,0,0,0,216.937,477.293,75.4573,411.194,478.911,40.3414,0,0,0,371.01,408.386,27.0165
1.37,576.973,630.839,946.733,401.151,553.528,965.319,403.057,472.34,973.98,570.236,387.511,954.352,535.182,686.511,803.295,692.098,645.876,499.413,0,0,0,670.5,656.429,452.93,725.256,616.447,435.783,711.913,643.01,75.7327,0,0,0,673.747,594.673,38.97,867.315,610.225,86.4422,0,0,0,838.659,668.019,55.4826,512.318,337.062,798.936,426.509,397.559,469.887,0,0,0,398.558,393.265,438.127,427.07,438.684,402.353,251.474,439.168,88.6853,0,0,0,202.239,477.895,79.1565,395.535,479.184,40.2738,0,0,0,354.99,408.946,27.4121
1.38,577.905,631.155,944.912,401.653,554.422,962.657,403.346,473.302,971.587,569.989,387.68,952.577,534.968,686.829,800.336,692.446,646.299,497.405,0,0,0,672.901,656.778,450.332,728.084,615.525,435.401,734.665,643.635,75.9755,0,0,0,697.592,596.193,37.0071,888.575,608.984,95.0369,0,0,0,862.418,667.322,62.6249,510.349,336.858,797.476,420.034,397.607,469.416,0,0,0,391.36,393.463,438.306,419.38,438.819,401.873,236.871,439.309,91.5974,0,0,0,187.707,478.128,83.2688,379.901,479.553,40.2069,0,0,0,339.146,409.397,27.7048
1.39,579.039,631.481,943.125,402.397,555.465,960.218,403.843,474.444,969.215,569.916,387.868,950.723,535.066,687.65,798.296,692.672,647.222,495.548,0,0,0,675.108,657.77,448.438,730.223,615.778,435.163,753.403,643.93,76.7938,0,0,0,717.48,597.011,36.1053,905.864,607.224,102.738,0,0,0,882.101,665.768,68.9968,508.347,336.997,796.119,414.256,396.445,468.912,0,0,0,385.132,393.548,438.274,412.58,438.765,401.1,222.623,439.331,94.9732,0,0,0,173.394,477.767,87.8774,364.201,479.705,40.1793,0,0,0,323.193,409.825,27.7939
1.4,580.319,631.814,941.348,403.315,556.565,958.008,404.457,475.75,967.024,570.076,388.128,948.851,535.996,689.122,797.59,692.934,648.65,494.07,0,0,0,676.668,658.79,446.654,731.977,617.014,435.055,767.994,643.94,77.5853,0,0,0,732.957,597.419,35.8147,919.021,605.089,108.889,0,0,0,897.456,663.819,73.8444,506.423,337.231,794.955,409.589,396.028,468.036,0,0,0,380.155,393.39,438.023,406.921,438.444,399.999,208.955,438.33,98.652,0,0,0,159.46,476.859,93.0674,348.651,479.858,40.1726,0,0,0,307.656,409.891,28.374
1.41,581.712,632.301,939.721,404.787,557.765,956.172,405.4,477.144,964.82,570.526,388.437,947.051,537.692,690.052,796.912,693.806,649.835,492.766,0,0,0,678.267,659.742,445.132,733.838,618.158,434.813,778.155,643.871,78.0668,0,0,0,743.531,597.836,35.6096,928.034,602.671,112.652,0,0,0,908.281,661.596,76.7469,504.948,337.676,793.898,405.91,395.206,467.087,0,0,0,376.554,393.089,437.508,402.417,437.871,398.543,195.606,437.525,102.958,0,0,0,146.019,475.593,98.9796,333.138,480.087,40.1868,0,0,0,292.372,409.892,29.1572
1.42,583.394,632.907,938.401,405.943,558.963,954.392,406.592,478.518,962.878,571.297,388.826,945.32,541.665,692.668,796.997,695.717,650.346,491.907,0,0,0,680.281,660.276,443.847,735.867,618.573,434.31,783.842,643.597,77.6697,0,0,0,749.262,597.859,35.0541,933.017,600.62,113.715,0,0,0,914.405,659.542,77.226,504.052,338.368,792.904,403.426,394.359,465.979,0,0,0,374.051,392.707,436.778,399.284,437.132,396.842,183.02,436.073,107.829,0,0,0,133.224,473.972,105.684,317.739,479.918,40.2133,0,0,0,277.23,409.672,30.0557
1.43,585.124,633.736,937.355,407.3,560.148,952.683,407.951,480.059,960.841,572.32,389.506,943.743,545.991,694.387,796.242,698.591,650.043,491.702,0,0,0,682.828,660.31,442.94,738.138,618.343,433.435,785.174,643.098,76.1541,0,0,0,750.026,597.582,33.8576,934.019,599.029,112.051,0,0,0,915.929,658.02,75.2669,503.957,339.422,791.947,402.59,393.487,464.648,0,0,0,372.885,392.182,435.949,397.36,436.177,394.997,171.15,434.42,113.36,0,0,0,121.26,472.061,113.283,302.5,479.928,40.3246,0,0,0,262.269,409.426,31.1615
1.44,587.11,634.795,936.535,408.885,561.495,951.074,409.519,481.603,958.866,573.638,390.375,942.33,550.595,695.685,795.64,701.76,649.045,491.871,0,0,0,685.671,659.965,442.107,740.346,617.588,431.946,782.426,642.155,73.7875,0,0,0,746.179,596.853,32.6946,931.467,597.74,107.668,0,0,0,912.86,656.651,71.0015,504.531,340.657,790.9,403.569,392.933,463.026,0,0,0,373.189,391.276,434.829,396.708,435.271,393.002,160.115,432.553,119.602,0,0,0,110.326,470.156,121.838,287.411,479.745,40.4849,0,0,0,247.468,409.131,32.5082
1.45,589.348,636.115,935.901,410.978,563.267,949.687,411.379,483.225,957.083,575.439,391.678,941.226,555.009,696.507,795.316,704.806,647.916,491.927,0,0,0,688.53,659.529,441.163,742.222,616.508,430.158,776.294,641.132,71.1462,0,0,0,737.462,596.588,32.3784,925.721,596.281,100.423,0,0,0,905.794,655.435,64.2793,505.871,342.113,789.919,406.356,392.501,461.348,0,0,0,374.834,390.672,433.571,397.155,434.295,390.809,150.154,430.629,126.547,0,0,0,100.615,468.315,131.186,272.35,479.688,40.6444,0,0,0,232.888,408.523,34.1765
1.46,591.634,637.569,935.49,412.639,564.754,948.823,413.407,485.049,955.681,577.493,392.966,940.171,558.804,696.83,795.117,707.504,646.829,491.659,0,0,0,691.176,659.296,440.587,743.88,615.339,428.314,767.099,640.075,70.0071,0,0,0,724.231,596.332,34.0264,917.783,594.287,86.6124,0,0,0,894.492,654.646,52.7687,508.05,344.029,788.666,410.599,392.08,459.189,0,0,0,377.863,389.96,432.126,398.788,433.246,388.448,141.339,428.82,134.157,0,0,0,92.5628,466.54,141.289,257.762,479.569,40.7612,0,0,0,218.766,408.087,35.885
1.47,593.969,638.962,935.709,414.736,566.529,949.009,415.523,486.767,954.71,579.778,394.395,939.356,561.429,697.74,795.703,710.313,645.646,492.084,0,0,0,693.715,658.756,441.386,745.56,613.594,427.616,754.583,639.124,69.8715,0,0,0,710.27,596.374,35.463,907.334,593.534,73.7934,0,0,0,880.851,653.328,43.7049,511.104,346.297,787.147,416.031,391.866,457.025,0,0,0,382.096,389.531,430.756,401.977,432.369,385.854,134.051,426.886,142.234,0,0,0,86.5145,465.021,152.355,243.485,479.301,40.8857,0,0,0,204.845,407.755,37.731
1.48,596.331,640.26,936.567,416.951,568.123,949.88,417.406,487.958,954.444,582.003,396.015,938.792,563.554,699.36,797.196,713.087,644.431,493.374,0,0,0,696.608,658,443.397,746.818,611.282,427.999,743.908,639.135,69.9902,0,0,0,697.629,597.022,37.5859,896.104,592.485,66.8097,0,0,0,868.656,653.511,38.1454,514.911,348.834,785.397,423.279,392.061,454.859,0,0,0,388.355,389.301,429.404,407.208,432.123,383.027,129.553,426.676,150.544,0,0,0,82.907,464.257,164.889,228.932,479.063,40.9259,0,0,0,191.13,407.345,40.2674
1.49,598.778,641.495,938.155,419.118,569.432,950.949,419.301,489.086,954.592,583.978,397.704,938.606,565.337,700.95,798.583,715.141,643.949,494.551,0,0,0,698.352,657.88,444.797,747.085,609.792,428.431,733.371,639.687,69.4013,0,0,0,684.771,598.442,39.4908,884.383,589.987,58.9102,0,0,0,857.045,651.501,31.5087,519.06,351.105,783.866,433.232,391.84,452.308,0,0,0,396.963,388.51,427.982,414.882,431.313,380.341,125.586,424.868,161.595,0,0,0,82.1733,464.602,178.874,213.694,478.368,41.3304,0,0,0,175.971,407.337,43.2396
1.5,601.024,642.798,940.338,421.297,570.807,951.832,421.091,490.069,954.763,585.717,399.54,938.798,566.968,702.652,799.947,715.3,644.652,494.476,0,0,0,698.091,658.842,444.965,746.296,609.867,428.068,721.783,639.473,68.5846,0,0,0,671.037,599.667,40.7171,871.331,585.858,51.0458,0,0,0,844.683,650.936,28.4356,523.089,352.906,782.687,445.062,390.537,449.565,0,0,0,407.481,387.4,426.385,424.746,429.525,377.731,125.738,426.213,171.321,0,0,0,84.9996,466.382,192.758,201.267,477.931,43.0375,0,0,0,162.404,407.967,47.3937
1.51,602.997,644.161,942.388,423.251,572.443,952.429,422.617,491.201,954.853,587.193,401.189,939.287,568.251,704.576,800.78,713.892,646.175,493.353,0,0,0,696.018,659.994,444.117,744.209,611.46,426.399,708.672,638.501,68.6482,0,0,0,656.897,599.423,41.5082,857.584,584.804,46.9609,0,0,0,830.158,652.852,26.6447,526.853,354.235,781.908,457.538,389.075,447.287,0,0,0,419.139,386.22,425.122,435.593,425.18,376.478,128.227,426.992,181.59,0,0,0,90.4547,468.272,205.952,191.367,477.936,46.2323,0,0,0,153.337,408.798,53.5515
1.52,604.684,645.198,944.413,424.582,573.82,953.339,423.896,492.597,954.929,588.383,402.678,939.961,568.835,706.71,801.382,711.539,647.791,492.376,0,0,0,692.892,661.493,443.373,740.56,613.32,424.478,694.231,638.052,68.6997,0,0,0,642.171,599.179,41.9749,843.419,584.932,44.2854,0,0,0,815.583,654.742,26.0977,530.231,355.525,781.436,470.777,387.724,445.433,0,0,0,431.722,385.133,424.209,448.243,422.747,374.311,133.566,427.79,192.111,0,0,0,98.8241,470.555,218.875,183.254,478.054,50.4472,0,0,0,146.299,409.162,61.8489
1.53,606.168,646.257,946.447,425.611,575.041,954.549,424.831,493.967,955.317,589.274,403.897,940.873,568.549,709.281,802.808,708.019,649.549,491.696,0,0,0,687.786,662.747,442.065,735.498,614.964,423.198,679.315,638.012,68.6598,0,0,0,626.98,599.34,42.2955,828.366,584.383,42.9677,0,0,0,800.634,654.864,25.9364,533.283,356.602,781.197,484.559,386.3,443.921,0,0,0,445.244,384.205,423.254,461.904,421.124,372.709,141.236,428.408,202.195,0,0,0,109.58,472.459,231.216,177.918,477.978,56.1402,0,0,0,142.588,410.119,70.9583
1.54,607.187,647.278,948.467,426.183,576.122,955.986,425.5,495.075,956.016,589.737,404.695,941.84,567.891,710.915,804.929,702.83,651.349,491.161,0,0,0,682.161,664.307,442.612,728.967,616.514,422.402,664.038,638.134,68.8502,0,0,0,611.499,599.671,42.6729,812.944,584.258,42.2804,0,0,0,785.129,655.466,25.7617,536.181,357.533,781.194,498.56,384.97,442.674,0,0,0,459.503,383.038,422.472,475.959,419.871,371.877,151.18,428.952,211.505,0,0,0,122.068,473.708,242.756,176.237,478.663,62.5878,0,0,0,141.524,411.555,81.5645
1.55,607.779,648.262,950.402,427.367,576.868,958.093,426.206,495.927,957.227,589.989,405.414,942.899,567.066,712.203,807.25,695.892,653.216,490.523,0,0,0,674.134,666.2,442.807,720.902,618.654,421.443,648.304,638.51,68.9002,0,0,0,595.634,600.016,43.0221,797.128,584.552,41.9688,0,0,0,769.345,656.229,25.5655,538.945,358.406,781.463,512.397,383.564,442.308,0,0,0,473.969,381.759,422.496,490.095,418.879,371.818,161.967,429.253,220.711,0,0,0,135.652,475.583,252.911,178.623,478.26,68.2476,0,0,0,144.763,413.091,91.4974
1.56,607.371,648.69,952.034,427.784,577.276,960.729,426.669,496.001,958.73,590.582,406.507,944.302,565.951,713.629,809.793,687.393,655.16,489.714,0,0,0,663.851,667.764,442.123,711.389,620.882,420.14,632.437,638.856,68.9447,0,0,0,579.783,600.468,43.3759,781.216,584.723,41.8063,0,0,0,753.409,656.742,25.471,541.505,359.366,782.172,525.771,382.203,442.913,0,0,0,488.279,380.61,423.211,504.353,417.92,372.458,173.345,431.868,228.299,0,0,0,148.555,478.991,260.725,187.145,475.283,74.0869,0,0,0,152.091,413.493,100.277
1.57,607.171,649.49,953.867,427.829,577.666,963.423,426.884,496.685,960.48,590.251,406.409,945.4,564.065,714.068,812.039,678.099,656.812,488.898,0,0,0,653.374,669.161,441.728,700.937,622.564,418.759,616.633,639.077,69.0707,0,0,0,563.792,600.661,43.8185,765.306,584.856,41.6788,0,0,0,737.426,657.17,25.411,543.784,360.318,783.376,539.099,380.933,444.585,0,0,0,502.201,379.618,424.779,518.57,417.175,373.869,184.82,435.713,234.807,0,0,0,159.985,483.752,265.565,202.147,472.332,79.3856,0,0,0,165.407,412.512,107.512
1.58,606.812,650.303,955.722,427.487,578.218,966.162,426.875,497.165,962.389,589.823,406.934,946.665,562.557,715.463,814.589,668.32,657.832,488.119,0,0,0,642.902,669.911,441.468,689.727,623.538,417.682,600.763,639.264,69.2324,0,0,0,547.898,600.79,44.2249,749.364,585.016,41.5518,0,0,0,721.45,657.523,25.4674,546.109,361.195,785.219,552.48,379.969,446.93,0,0,0,515.727,379.294,427.177,532.831,416.66,376.32,198.304,439.346,238.769,0,0,0,172.526,487.506,267.874,221.844,469.263,82.9701,0,0,0,184.654,410.544,112.439
1.59,606.067,651.055,957.627,427.054,578.767,968.76,426.632,497.572,964.545,590.818,408.022,949.276,560.017,716.266,816.488,658.172,658.593,487.656,0,0,0,631.769,670.412,441.309,678.343,624.071,416.937,585.018,639.342,69.5505,0,0,0,531.998,600.69,44.7414,733.567,585.189,41.4684,0,0,0,705.545,657.82,25.4668,548.254,361.849,787.541,565.776,379.417,450.124,0,0,0,529.23,379.3,430.263,547.15,416.52,379.344,213.801,441.897,239.909,0,0,0,186.442,490.392,267.82,244.78,466.976,85.0231,0,0,0,206.176,409.356,115.239
1.6,605.096,652.013,959.636,426.39,579.174,971.278,426.324,498.006,966.886,590.881,409.021,951.816,556.86,716.767,817.881,647.621,658.973,487.128,0,0,0,620.127,670.543,441.187,666.475,624.381,416.224,569.32,639.409,70.0055,0,0,0,516.181,600.699,45.4361,717.773,585.335,41.4554,0,0,0,689.543,657.991,25.5112,550.405,362.311,790.357,578.789,379.329,453.915,0,0,0,542.707,379.402,433.491,561.673,416.364,382.9,229.972,444.092,239.109,0,0,0,201.351,493.05,265.288,270.003,464.54,86.0644,0,0,0,228.445,408.744,115.73
1.61,603.808,652.898,961.674,425.499,579.394,973.709,426.09,497.935,969.21,590.879,410.212,954.591,553.083,717.053,819.033,636.75,659.218,486.755,0,0,0,608.197,670.524,441.233,654.35,624.369,415.552,553.678,639.207,70.4803,0,0,0,500.384,600.424,46.2367,702.062,585.396,41.4749,0,0,0,673.614,658.123,25.5943,552.635,362.781,793.356,591.729,379.14,458.03,0,0,0,555.946,379.708,436.903,576.212,416.152,386.931,247.117,445.893,235.999,0,0,0,217.188,495.233,260.456,296.76,463.159,85.8435,0,0,0,252.209,408.633,113.955
1.62,602.57,654.188,963.772,424.674,579.631,975.964,425.528,498.197,971.698,590.675,411.386,957.388,549.168,717.394,820.286,625.606,659.398,486.488,0,0,0,595.998,670.522,441.455,641.939,624.328,415.057,538.216,638.86,71.1713,0,0,0,484.781,599.811,47.1751,686.34,585.509,41.4578,0,0,0,657.684,658.19,25.611,554.696,362.885,796.253,604.026,378.985,462.257,0,0,0,568.904,380.108,440.205,590.651,416.439,390.903,265.356,447.003,230.847,0,0,0,233.919,496.645,253.527,324.417,462.601,84.3587,0,0,0,278.223,408.66,110.157
1.63,601.154,655.199,965.584,423.649,579.879,978.048,424.884,498.452,974.01,590.353,412.592,960.196,545.347,717.751,821.754,614.119,659.679,486.365,0,0,0,583.432,670.512,441.781,629.396,624.524,414.787,522.722,638.462,71.997,0,0,0,469.124,599.303,48.4223,670.847,585.577,41.4261,0,0,0,641.796,658.188,25.7562,557.734,363.807,799.245,615.855,379.388,466.67,0,0,0,581.382,380.523,443.342,604.67,416.941,394.915,284.62,447.569,223.866,0,0,0,251.462,497.265,244.656,353.058,462.748,82.0727,0,0,0,305.137,408.887,105.22
