s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
Time,L_IAS_X,L_IAS_Y,L_IAS_Z,L_IPS_X,L_IPS_Y,L_IPS_Z,R_IPS_X,R_IPS_Y,R_IPS_Z,R_IAS_X,R_IAS_Y,R_IAS_Z,L_FTC_X,L_FTC_Y,L_FTC_Z,L_FLE_X,L_FLE_Y,L_FLE_Z,L_FME_X,L_FME_Y,L_FME_Z,L_FAX_X,L_FAX_Y,L_FAX_Z,L_TTC_X,L_TTC_Y,L_TTC_Z,L_FAL_X,L_FAL_Y,L_FAL_Z,L_TAM_X,L_TAM_Y,L_TAM_Z,L_FCC_X,L_FCC_Y,L_FCC_Z,L_FM1_X,L_FM1_Y,L_FM1_Z,L_FM2_X,L_FM2_Y,L_FM2_Z,L_FM5_X,L_FM5_Y,L_FM5_Z,R_FTC_X,R_FTC_Y,R_FTC_Z,R_FLE_X,R_FLE_Y,R_FLE_Z,R_FME_X,R_FME_Y,R_FME_Z,R_FAX_X,R_FAX_Y,R_FAX_Z,R_TTC_X,R_TTC_Y,R_TTC_Z,R_FAL_X,R_FAL_Y,R_FAL_Z,R_TAM_X,R_TAM_Y,R_TAM_Z,R_FCC_X,R_FCC_Y,R_FCC_Z,R_FM1_X,R_FM1_Y,R_FM1_Z,R_FM2_X,R_FM2_Y,R_FM2_Z,R_FM5_X,R_FM5_Y,R_FM5_Z
0.09,536.29,653.71,946.025,366.212,563.893,965.465,372.798,484.677,957.581,541.8,409.669,942.339,441.003,716.357,811.242,379.73,664.034,473.856,0,0,0,334.353,668.594,442.198,371.051,626.714,400.176,162.967,633.183,105.973,0,0,0,107.235,590.351,99.0567,297.92,588.823,39.9179,0,0,0,260.936,657.421,27.5673,532.079,360.28,786.434,654.643,402.205,481.797,0,0,0,652.432,393.153,445.678,696.208,440.412,431.255,760.265,407.687,78.2548,0,0,0,723.292,444.901,40.5628,904.053,457.681,116.005,0,0,0,884.461,392.934,82.9412
0.1,536.597,653.052,943.448,367.209,562.851,963.294,373.454,483.407,955.541,542.788,409.062,940.203,439.843,715.567,809.56,376.01,664.472,472.385,0,0,0,331.137,670.128,442.343,365.754,627.357,398.559,149.782,634.722,109.764,0,0,0,93.8078,592.33,104.594,282.346,588.964,39.9423,0,0,0,245.456,657.725,28.0663,534.849,358.469,785.832,658.112,401.998,481.719,0,0,0,656.143,392.851,444.773,700.051,440.021,430.967,765.143,408.634,77.5828,0,0,0,728.26,446.264,40.0922,908.815,458.486,116.177,0,0,0,889.509,394.06,82.3144
0.11,537.201,652.333,940.842,367.825,561.481,961.322,374.315,482.177,953.641,543.935,408.367,938.312,439.276,714.446,807.864,373.357,664.86,470.871,0,0,0,328.095,670.152,441.387,361.376,627.883,396.847,137.186,636.493,114.047,0,0,0,80.9515,594.463,110.843,266.745,589.108,39.9481,0,0,0,230.077,658.05,28.6442,538.523,356.525,786.65,662.764,401.791,481.44,0,0,0,660.356,392.779,443.87,704.558,439.57,430.291,765.238,410.23,75.599,0,0,0,728.123,448.91,38.743,909.687,458.65,113.109,0,0,0,889.572,394.79,78.7406
0.12,537.988,651.471,938.351,368.905,560.034,959.379,375.597,480.688,951.842,545.315,407.327,936.767,439.404,713.321,806.185,371.808,665.115,469.237,0,0,0,325.563,670.677,440.592,358.011,628.442,395.076,125.23,638.38,118.944,0,0,0,68.9165,596.663,117.872,251.33,589.417,40.0465,0,0,0,214.823,658.578,29.5072,542.572,355.025,788.271,667.972,401.883,481.958,0,0,0,665.458,393.143,443.519,709.248,439.459,429.63,761.096,412.17,72.6162,0,0,0,723.605,451.624,36.8237,906.734,458.806,107.486,0,0,0,885.131,395.708,72.711
0.13,539.21,650.373,936.035,369.716,558.235,957.366,376.508,479.297,950.125,547.029,406.182,935.727,440.156,712.03,804.401,371.398,665.328,467.519,0,0,0,324.268,671.172,439.704,355.702,628.972,393.189,114.063,640.191,124.364,0,0,0,57.8392,598.787,125.636,236.057,589.674,40.1379,0,0,0,199.75,658.539,30.3275,545.436,354.059,789.72,673.158,402.457,482.766,0,0,0,670.426,393.87,443.226,713.46,439.721,428.606,752.894,413.951,68.909,0,0,0,715.267,454.421,34.9324,900.441,459.223,100.212,0,0,0,876.959,396.563,65.7587
0.14,540.889,649.065,934.028,371.245,556.647,955.569,378.756,477.69,948.707,549.189,404.682,935.148,441.552,710.619,802.507,372.317,665.486,465.575,0,0,0,324.227,671.512,438.718,354.603,629.6,391.301,103.838,641.964,130.386,0,0,0,47.8013,600.655,134.181,221.068,589.916,40.3423,0,0,0,184.757,658.656,31.3014,547.768,353.572,789.971,677.727,403.234,483.203,0,0,0,674.397,394.738,442.374,716.781,440.26,426.685,743.253,415.943,66.1129,0,0,0,703.811,455.948,34.4004,891.692,460.513,91.6436,0,0,0,866.236,397.923,58.1746
0.15,542.944,647.63,932.249,373.519,555.422,954.22,380.898,476.184,947.556,551.477,403.44,934.982,443.352,709.039,800.513,374.593,665.687,463.481,0,0,0,325.468,671.884,437.723,354.744,630.321,389.209,94.5052,643.432,137.109,0,0,0,39.0098,602.244,143.957,205.91,590.413,40.5502,0,0,0,169.614,658.831,32.5747,550.722,353.087,789.307,681.067,403.646,482.724,0,0,0,677.458,395.196,441.107,719.558,440.88,424.467,733.198,417.961,66.0916,0,0,0,690.991,456.891,36.3834,882.816,463.19,78.8689,0,0,0,854.371,398.818,49.9105
0.16,545.005,646.1,930.746,375.824,554.145,953.217,382.944,474.734,947.399,553.831,402.242,935.294,445.657,707.171,798.455,378.369,665.709,461.19,0,0,0,328.192,672.14,436.76,356.416,631.156,386.806,85.9057,645.046,145.293,0,0,0,31.7415,603.67,155.293,190.488,591.154,41.0357,0,0,0,153.368,658.818,34.1717,553.681,352.397,788.174,684.078,403.678,481.856,0,0,0,679.771,395.557,440.915,721.679,442.242,423.469,722.382,419.057,66.382,0,0,0,678.581,457.258,38.506,872.843,464.669,68.9718,0,0,0,842.392,400.566,42.5523
0.17,547.168,644.384,929.573,378.424,553.305,952.854,384.734,473.457,947.616,556.128,400.87,935.78,448.271,705.107,796.369,384.043,666.18,458.761,0,0,0,332.661,672.521,435.899,359.893,633.205,385.351,79.3752,646.32,154.187,0,0,0,27.1044,604.276,167.306,175.299,591.528,41.3268,0,0,0,137.643,658.695,36.2194,556.185,351.624,788.057,686.728,403.772,482.378,0,0,0,683,396.187,442.691,722.745,444.398,423.784,712.183,418.962,66.2104,0,0,0,666.547,456.336,40.3415,861.73,466.25,62.2464,0,0,0,830.899,400.926,38.1211
0.18,549.14,642.697,928.837,380.006,552.263,952.345,386.65,472.121,948.298,558.533,399.337,936.914,451.13,703.063,794.531,391.374,667.336,456.64,0,0,0,338.917,673.556,435.395,365.701,635.366,383.506,75.5151,646.823,163.27,0,0,0,25.587,603.743,179.601,162.074,591.834,42.2793,0,0,0,123.697,657.995,38.8297,558.627,349.201,789.194,688.96,404.381,483.795,0,0,0,684.689,396.479,443.944,722.694,445.349,423.809,701.376,418.256,65.809,0,0,0,654.111,455.116,42.0934,849.741,467.865,54.7361,0,0,0,818.771,402.416,31.561
